City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
325,hermanus,-34.4187,19.2345,61.48,69,1,8.12,ZA,1702617996
326,alofi,-19.0595,-169.9187,82.29,74,75,6.91,NU,1702617996
327,severo-yeniseyskiy,60.3725,93.0408,-13.22,95,100,3.47,RU,1702617997
328,port charlotte,26.9762,-82.0906,69.84,85,100,14.97,US,1702617997
329,mont-dore,-22.2833,166.5833,85.98,69,84,10.51,NC,1702617997
330,huarmey,-10.0681,-78.1522,68.95,87,44,5.61,PE,1702617997
331,gobabis,-22.45,18.9667,68.86,18,87,8.95,NA,1702617998
332,diego martin,10.7005,-61.5342,75.15,90,85,8.12,TT,1702617998
333,bandundu,-3.3167,17.3667,72.79,95,100,1.01,CD,1702617998
334,kruisfontein,-34.0033,24.7314,60.89,78,25,3.69,ZA,1702617999
335,banda aceh,5.5577,95.3222,77.14,92,100,3.87,ID,1702617999
336,salekhard,66.53,66.6019,-4.95,96,99,4.5,RU,1702617999
337,sigli,5.3848,95.9609,77.54,92,99,4.68,ID,1702617999
338,choibalsan,48.0667,114.5,-5.03,76,100,6.46,MN,1702617999
339,kavaratti,10.5669,72.642,83.25,71,100,7.25,IN,1702617999
340,madang,-5.2246,145.7966,80.94,75,100,2.44,PG,1702618000
341,camabatela,-8.1881,15.375,63.27,99,100,2.42,AO,1702618000
342,namibe,-15.1961,12.1522,69.64,80,97,4.74,AO,1702618000
343,weno,7.4515,151.8468,83.19,81,89,19.53,FM,1702618000
344,olmsted falls,41.3751,-81.9082,42.15,65,0,8.05,US,1702618000
345,bogandinskiy,56.8937,65.8938,0.93,77,100,8.21,RU,1702618000
346,sona,45.4388,10.8255,41.32,100,100,2.3,IT,1702618001
347,karad,17.2833,74.2,75.67,45,2,8.95,IN,1702618001
348,mejit,10.2753,170.8646,81.36,76,77,19.62,MH,1702618001
349,bayeux,-7.125,-34.9322,75.83,100,100,6.91,BR,1702618001
350,ceeldheer,3.8488,47.1806,81.18,70,6,14.85,SO,1702618001
351,cururupu,-1.8283,-44.8683,76.71,84,80,3.04,BR,1702618001
352,melito di porto salvo,37.9222,15.7714,55.56,81,75,6.91,IT,1702618002
353,balkanabat,39.5108,54.3671,36.5,53,99,4.36,TM,1702618002
354,colares,38.7992,-9.4469,52.32,74,11,18.01,PT,1702618002
355,mbaiki,3.8678,17.9892,68.02,61,100,2.73,CF,1702618002
356,aldinga beach,-35.2793,138.4604,74.19,52,3,11.81,AU,1702617957
357,borskoye,53.0333,51.7167,14.02,76,35,11.56,RU,1702618002
358,alesund,62.4723,6.1549,46.76,80,75,20.71,NO,1702618003
359,palencia,42.4167,-4.5,33.8,86,47,3.89,ES,1702618003
360,polyarnyy,69.1989,33.4478,8.89,96,64,12.37,RU,1702618003
361,alnwick,55.4132,-1.7056,44.08,81,20,8.05,GB,1702617868
362,nguigmi,14.2495,13.1092,62.4,30,1,12.35,NE,1702618003
363,mugia,43.1041,-9.2179,50.92,84,33,9.71,ES,1702618004
